"show_1","show_2","distance"
"Noragami: Stray God","Fullmetal Alchemist: Brotherhood","0.623153470548242"
"Fullmetal Alchemist: Brotherhood","No Game, No Life","0.603851444291609"
"No Game, No Life","Fullmetal Alchemist: Brotherhood","0.603851444291609"
"Fullmetal Alchemist: Brotherhood","Code Geass: Lelouch of the Rebellion R2","0.536419408812047"
"Code Geass: Lelouch of the Rebellion R2","Fullmetal Alchemist: Brotherhood","0.536419408812047"
"Fullmetal Alchemist: Brotherhood","Death Note","0.529992268861704"
"Death Note","Fullmetal Alchemist: Brotherhood","0.529992268861704"
"Fullmetal Alchemist: Brotherhood","Attack on Titan","0.50598318240621"
"Attack on Titan","Fullmetal Alchemist: Brotherhood","0.50598318240621"
"Fullmetal Alchemist: Brotherhood","Soul Eater","0.598826549321599"
"Soul Eater","Fullmetal Alchemist: Brotherhood","0.598826549321599"
"Fullmetal Alchemist: Brotherhood","Elfen Lied","0.614735996787794"
"Elfen Lied","Fullmetal Alchemist: Brotherhood","0.614735996787794"
"Fullmetal Alchemist: Brotherhood","One Punch Man","0.577988867376573"
"One Punch Man","Fullmetal Alchemist: Brotherhood","0.577988867376573"
"Fullmetal Alchemist: Brotherhood","The Future Diary","0.59259907780307"
"The Future Diary","Fullmetal Alchemist: Brotherhood","0.59259907780307"
"Fullmetal Alchemist: Brotherhood","Fullmetal Alchemist","0.536458630731457"
"Fullmetal Alchemist","Fullmetal Alchemist: Brotherhood","0.536458630731457"
"Fullmetal Alchemist: Brotherhood","Gurren Lagann","0.594725222268632"
"Gurren Lagann","Fullmetal Alchemist: Brotherhood","0.594725222268632"
"Fullmetal Alchemist: Brotherhood","Angel Beats!","0.557093791281374"
"Angel Beats!","Fullmetal Alchemist: Brotherhood","0.557093791281374"
"Fullmetal Alchemist: Brotherhood","Code Geass: Lelouch of the Rebellion","0.527799612220301"
"Code Geass: Lelouch of the Rebellion","Fullmetal Alchemist: Brotherhood","0.527799612220301"
"Steins;Gate","Naruto","0.672405522093705"
"Naruto","Steins;Gate","0.672405522093705"
"Steins;Gate","Sword Art Online II","0.627306531958184"
"Sword Art Online II","Steins;Gate","0.627306531958184"
"Steins;Gate","Blue Exorcist","0.609886313673764"
"Blue Exorcist","Steins;Gate","0.609886313673764"
"Steins;Gate","Akame ga Kill!","0.631525595539787"
"Akame ga Kill!","Steins;Gate","0.631525595539787"
"Steins;Gate","Sword Art Online","0.518812330009066"
"Sword Art Online","Steins;Gate","0.518812330009066"
"Steins;Gate","Noragami: Stray God","0.598012035972682"
"Noragami: Stray God","Steins;Gate","0.598012035972682"
"Steins;Gate","No Game, No Life","0.547435043304464"
"No Game, No Life","Steins;Gate","0.547435043304464"
"Steins;Gate","Code Geass: Lelouch of the Rebellion R2","0.561109169288128"
"Code Geass: Lelouch of the Rebellion R2","Steins;Gate","0.561109169288128"
"Steins;Gate","Death Note","0.589081908603383"
"Death Note","Steins;Gate","0.589081908603383"
"Steins;Gate","Attack on Titan","0.508462020627956"
"Attack on Titan","Steins;Gate","0.508462020627956"
"Steins;Gate","Soul Eater","0.681383733119566"
"Soul Eater","Steins;Gate","0.681383733119566"
"Steins;Gate","Elfen Lied","0.628454129164693"
"Elfen Lied","Steins;Gate","0.628454129164693"
"Steins;Gate","One Punch Man","0.557948650600827"
"One Punch Man","Steins;Gate","0.557948650600827"
"Steins;Gate","The Future Diary","0.522453521864362"
"The Future Diary","Steins;Gate","0.522453521864362"
"Steins;Gate","Fullmetal Alchemist","0.698665658257252"
"Fullmetal Alchemist","Steins;Gate","0.698665658257252"
"Steins;Gate","Gurren Lagann","0.607289755109789"
"Gurren Lagann","Steins;Gate","0.607289755109789"
"Steins;Gate","Angel Beats!","0.506809620399884"
"Angel Beats!","Steins;Gate","0.506809620399884"
"Steins;Gate","Code Geass: Lelouch of the Rebellion","0.560633165284328"
"Code Geass: Lelouch of the Rebellion","Steins;Gate","0.560633165284328"
"Naruto","Sword Art Online II","0.710972817471966"
"Sword Art Online II","Naruto","0.710972817471966"
"Naruto","Blue Exorcist","0.626624103942652"
